Letter,Freq
a,39.5
b,4.2
c,14.8
d,20.0
e,85.0
f,4.6
g,5.1
h,3.5
i,36.6
j,2.9
k,0.2
l,27.8
m,14.5
n,35.5
o,25.5
p,14.4
q,6.1
r,30.5
s,38.8
t,35.6
u,28.5
v,7.5
w,0.1
x,1.7
y,1.0
z,0.3
